Epoch,Loss
0,2.623235464
1,2.609201431
2,2.594454288
3,2.579199076
4,2.563868999
5,2.548399448
6,2.53283143
7,2.51721406
8,2.50143075
9,2.485274076
10,2.46860075
11,2.451343775
12,2.433482409
13,2.41496563
14,2.395703316
15,2.375675201
16,2.35487318
17,2.333369493
18,2.311261177
19,2.288649082
20,2.265628099
21,2.242255211
22,2.218497515
23,2.194357872
24,2.169888258
25,2.145146847
26,2.120202541
27,2.095143557
28,2.07006979
29,2.045069933
30,2.020242691
31,1.995665431
32,1.971406341
33,1.947533965
34,1.924113274
35,1.901193023
36,1.878829718
37,1.857055545
38,1.835906744
39,1.815411925
40,1.795577526
41,1.776434302
42,1.757991076
43,1.740237832
44,1.72315681
45,1.706727028
46,1.690918803
47,1.675696492
48,1.661029696
49,1.646882653
50,1.63323307
51,1.62005496
52,1.607315063
53,1.594989061
54,1.583051562
55,1.571479917
56,1.560245633
57,1.549325228
58,1.538700581
59,1.528355479
60,1.518276453
61,1.508450389
62,1.498866439
63,1.489513993
64,1.480387926
65,1.471487045
66,1.462803602
67,1.454331279
68,1.446070671
69,1.438020945
70,1.430185914
71,1.422565937
72,1.415157676
73,1.407961845
74,1.400980234
75,1.394214272
76,1.387663364
77,1.381327391
78,1.375203133
79,1.369291186
80,1.363583088
81,1.358074069
82,1.352759838
83,1.347635865
84,1.342696786
85,1.337933421
86,1.333343863
87,1.328918219
88,1.324650168
89,1.320531487
90,1.316554666
91,1.312713265
92,1.309002876
93,1.305418015
94,1.301948905
95,1.298594832
96,1.29534924
97,1.292201638
98,1.289150357
99,1.286193252
100,1.28332603
101,1.280548573
102,1.277855754
103,1.275244474
104,1.272710323
105,1.270248532
106,1.267860174
107,1.265545368
108,1.263298035
109,1.261116505
110,1.258998036
111,1.256938219
112,1.254934192
113,1.252985001
114,1.251090169
115,1.249248028
116,1.247455716
117,1.245714307
118,1.244021297
119,1.242375016
120,1.240773678
121,1.23921752
122,1.237704992
123,1.236234665
124,1.234804988
125,1.233415008
126,1.232064962
127,1.230753422
128,1.229478717
129,1.228237033
130,1.227026582
131,1.225844622
132,1.224687934
133,1.223552227
134,1.222433925
135,1.221328735
136,1.220232129
137,1.219139338
138,1.218043685
139,1.216939807
140,1.215824246
141,1.21469295
142,1.21354425
143,1.212376595
144,1.21118927
145,1.20998323
146,1.208760619
147,1.207524061
148,1.206278205
149,1.205027103
150,1.203776956
151,1.202532887
152,1.201299906
153,1.200083256
154,1.198886752
155,1.197717071
156,1.196578145
157,1.195471644
158,1.194399834
159,1.193363547
160,1.19236505
161,1.191404343
162,1.190478683
163,1.189586401
164,1.188727379
165,1.187897682
166,1.187095881
167,1.186323166
168,1.185575843
169,1.184854269
170,1.184161901
171,1.183492303
172,1.182850957
173,1.182239056
174,1.181643486
175,1.181074858
176,1.180533528
177,1.18000555
178,1.179503441
179,1.179024577
180,1.178553939
181,1.178106904
182,1.177678347
183,1.177258968
184,1.176855206
185,1.17646575
186,1.176087379
187,1.17571938
188,1.17536366
189,1.175019741
190,1.174683452
191,1.174357891
192,1.174043536
193,1.17373383
194,1.173433423
195,1.173142076
196,1.172855496
197,1.17257452
198,1.172300816
199,1.172032833
200,1.171770692
201,1.171516299
202,1.17126739
203,1.171022773
204,1.17078352
205,1.170549273
206,1.170317888
207,1.170091867
208,1.169869304
209,1.169650316
210,1.169436216
211,1.169223785
212,1.169015288
213,1.168812275
214,1.168612599
215,1.16841495
216,1.168220997
217,1.16803062
218,1.167842031
219,1.167654872
220,1.167469978
221,1.167287946
222,1.167109013
223,1.166933537
224,1.166760921
225,1.166591048
226,1.166423678
227,1.166257739
228,1.166093588
229,1.16593039
230,1.165768027
231,1.165607452
232,1.165448308
233,1.165291071
234,1.165136099
235,1.164982915
236,1.164833426
237,1.164685488
238,1.164537787
239,1.164391994
240,1.164248347
241,1.164105654
242,1.163964748
243,1.163826227
244,1.163688302
245,1.16355288
246,1.163420081
247,1.163289428
248,1.163160563
249,1.163033247
250,1.162907839
251,1.162784338
252,1.162661314
253,1.162540317
254,1.162419796
255,1.162300229
256,1.162181854
257,1.162063479
258,1.161945939
259,1.161829472
260,1.161713958
261,1.16159904
262,1.161485314
263,1.161373258
264,1.161262393
265,1.161153078
266,1.161044598
267,1.160936952
268,1.160830736
269,1.160725594
270,1.160621524
271,1.160519123
272,1.160417795
273,1.160316825
274,1.160216928
275,1.160116792
276,1.160017848
277,1.159919143
278,1.159820676
279,1.159724355
280,1.159627676
281,1.159531951
282,1.159436584
283,1.159341574
284,1.159247756
285,1.1591537
286,1.159060597
287,1.158967853
288,1.158875465
289,1.158784509
290,1.15869236
291,1.158602715
292,1.158512354
293,1.158423901
294,1.158335328
295,1.158246756
296,1.158159971
297,1.15807271
298,1.157988429
299,1.15790391
